"Date";"Time";"temperature 1 (analog)";"temperature 2 (digital)";"absolute pressure";"relative humidity";"absolute humidity";"mixing ratio";"dewpoint";"frostpoint";"airflow";"fan power"
"[YYYY-MM-DD]";"[hh:mm:ss]";"°C";"°C";"hPa";"%";"g/m³";"g/kg";"°C";"°C";"%";"%"
"2020-10-07";"00:00:00";13.637;13.580;979.298;68.015;8.007;6.805;7.839;0.000;103.168;71.429
"2020-10-07";"00:05:00";13.632;13.598;979.436;69.589;8.190;6.961;8.171;0.000;103.147;71.429
"2020-10-07";"00:10:00";13.639;13.589;979.507;69.822;8.217;6.984;8.220;0.000;99.676;71.429
"2020-10-07";"00:15:00";13.847;13.804;979.570;66.441;7.923;6.736;7.696;0.000;99.947;71.429
"2020-10-07";"00:20:00";14.080;14.039;979.658;65.917;7.974;6.784;7.801;0.000;100.800;71.429
"2020-10-07";"00:25:00";14.065;14.008;979.687;66.500;8.037;6.838;7.917;0.000;100.512;71.429
"2020-10-07";"00:30:00";14.182;14.138;979.757;65.684;7.995;6.805;7.846;0.000;102.112;71.429
"2020-10-07";"00:35:00";14.196;14.126;979.802;64.285;7.832;6.664;7.543;0.000;102.246;71.429
"2020-10-07";"00:40:00";13.743;13.697;979.934;66.966;7.935;6.741;7.713;0.000;100.614;71.429
"2020-10-07";"00:45:00";13.667;13.588;979.978;69.764;8.228;6.991;8.242;0.000;104.432;71.429
"2020-10-07";"00:50:00";13.496;13.447;980.072;69.064;8.060;6.842;7.930;0.000;102.378;71.429
"2020-10-07";"00:55:00";13.369;13.309;980.195;69.064;7.997;6.784;7.808;0.000;100.302;71.429
"2020-10-07";"01:00:00";13.126;13.093;980.315;69.589;7.938;6.727;7.687;0.000;100.083;71.429
"2020-10-07";"01:05:00";13.101;13.056;980.461;69.589;7.926;6.714;7.662;0.000;99.068;71.429
"2020-10-07";"01:10:00";13.131;13.081;980.549;69.064;7.881;6.676;7.581;0.000;96.106;71.429
