"Date";"Time";"temperature";"relative humidity"
"[YYYY-MM-DD]";"[hh:mm:ss]";"degC";"%"
"2020-10-06";"00:00:00";22.49;43.21
"2020-10-06";"00:05:00";22.68;42.99
"2020-10-06";"00:10:00";22.96;42.42
"2020-10-06";"00:15:00";23.17;41.90
"2020-10-06";"00:20:00";23.36;41.46
"2020-10-06";"00:25:00";23.11;41.75
"2020-10-06";"00:30:00";22.89;42.25
"2020-10-06";"00:35:00";22.72;42.63
"2020-10-06";"00:40:00";22.57;42.98
"2020-10-06";"00:45:00";22.46;43.24
"2020-10-06";"00:50:00";22.52;43.18
"2020-10-06";"00:55:00";22.82;42.60
"2020-10-06";"01:00:00";23.06;42.05
"2020-10-06";"01:05:00";23.24;41.61
"2020-10-06";"01:10:00";23.24;41.43
"2020-10-06";"01:15:00";22.99;41.94
"2020-10-06";"01:20:00";22.83;42.29
"2020-10-06";"01:25:00";22.66;42.62
"2020-10-06";"01:30:00";22.56;42.86
"2020-10-06";"01:35:00";22.57;42.93
"2020-10-06";"01:40:00";22.91;42.30
"2020-10-06";"01:45:00";23.13;41.81
"2020-10-06";"01:50:00";23.34;41.32
"2020-10-06";"01:55:00";23.16;41.47
"2020-10-06";"02:00:00";22.92;42.00
"2020-10-06";"02:05:00";22.78;42.32
"2020-10-06";"02:10:00";22.69;42.54
"2020-10-06";"02:15:00";22.55;42.80
"2020-10-06";"02:20:00";22.45;43.02
"2020-10-06";"02:25:00";22.77;42.50
"2020-10-06";"02:30:00";23.01;41.99
"2020-10-06";"02:35:00";23.25;41.42
"2020-10-06";"02:40:00";23.34;41.09
"2020-10-06";"02:45:00";23.05;41.59
"2020-10-06";"02:50:00";22.87;41.99
"2020-10-06";"02:55:00";22.75;42.28
"2020-10-06";"03:00:00";22.60;42.57
"2020-10-06";"03:05:00";22.45;42.92
"2020-10-06";"03:10:00";22.67;42.60
"2020-10-06";"03:15:00";22.96;42.00
"2020-10-06";"03:20:00";23.18;41.47
"2020-10-06";"03:25:00";23.37;41.01
"2020-10-06";"03:30:00";23.12;41.35
"2020-10-06";"03:35:00";22.90;41.84
"2020-10-06";"03:40:00";22.80;42.12
"2020-10-06";"03:45:00";22.66;42.43
"2020-10-06";"03:50:00";22.50;42.73
"2020-10-06";"03:55:00";22.45;42.91
"2020-10-06";"04:00:00";22.74;42.45
"2020-10-06";"04:05:00";23.02;41.89
"2020-10-06";"04:10:00";23.24;41.39
"2020-10-06";"04:15:00";23.25;41.21
"2020-10-06";"04:20:00";22.96;41.76
"2020-10-06";"04:25:00";22.78;42.20
"2020-10-06";"04:30:00";22.69;42.44
"2020-10-06";"04:35:00";22.54;42.77
"2020-10-06";"04:40:00";22.53;42.88
"2020-10-06";"04:45:00";22.81;42.40
"2020-10-06";"04:50:00";23.04;41.89
"2020-10-06";"04:55:00";23.28;41.36
"2020-10-06";"05:00:00";23.35;41.09
"2020-10-06";"05:05:00";23.04;41.63
"2020-10-06";"05:10:00";22.88;42.04
"2020-10-06";"05:15:00";22.67;42.49
"2020-10-06";"05:20:00";22.54;42.80
"2020-10-06";"05:25:00";22.47;42.96
"2020-10-06";"05:30:00";22.73;42.58
"2020-10-06";"05:35:00";23.01;42.01
"2020-10-06";"05:40:00";23.22;41.52
"2020-10-06";"05:45:00";23.32;41.16
"2020-10-06";"05:50:00";23.01;41.67
"2020-10-06";"05:55:00";22.79;42.20
"2020-10-06";"06:00:00";22.67;42.48
"2020-10-06";"06:05:00";22.53;42.79
"2020-10-06";"06:10:00";22.47;42.96
"2020-10-06";"06:15:00";22.57;42.82
"2020-10-06";"06:20:00";22.88;42.22
"2020-10-06";"06:25:00";23.13;41.66
"2020-10-06";"06:30:00";23.32;41.20
"2020-10-06";"06:35:00";23.17;41.34
"2020-10-06";"06:40:00";22.89;41.89
"2020-10-06";"06:45:00";22.77;42.22
"2020-10-06";"06:50:00";22.62;42.56
"2020-10-06";"06:55:00";22.52;42.82
"2020-10-06";"07:00:00";22.45;42.99
"2020-10-06";"07:05:00";22.80;42.43
"2020-10-06";"07:10:00";23.00;41.94
"2020-10-06";"07:15:00";23.22;41.45
"2020-10-06";"07:20:00";23.28;41.21
"2020-10-06";"07:25:00";22.96;41.80
"2020-10-06";"07:30:00";22.79;42.18
"2020-10-06";"07:35:00";22.65;42.53
"2020-10-06";"07:40:00";22.58;42.75
"2020-10-06";"07:45:00";22.43;43.03
"2020-10-06";"07:50:00";22.38;43.19
"2020-10-06";"07:55:00";22.73;42.59
"2020-10-06";"08:00:00";22.96;42.08
"2020-10-06";"08:05:00";23.19;41.52
"2020-10-06";"08:10:00";23.36;41.17
"2020-10-06";"08:15:00";23.20;41.33
"2020-10-06";"08:20:00";22.96;41.83
"2020-10-06";"08:25:00";22.75;42.29
"2020-10-06";"08:30:00";22.58;42.71
"2020-10-06";"08:35:00";22.49;42.94
"2020-10-06";"08:40:00";22.85;42.35
"2020-10-06";"08:45:00";23.13;41.73
"2020-10-06";"08:50:00";23.32;41.32
"2020-10-06";"08:55:00";23.35;41.08
"2020-10-06";"09:00:00";23.03;41.67
"2020-10-06";"09:05:00";22.80;42.17
"2020-10-06";"09:10:00";22.64;42.57
"2020-10-06";"09:15:00";22.56;42.80
"2020-10-06";"09:20:00";22.46;43.01
"2020-10-06";"09:25:00";22.78;42.49
"2020-10-06";"09:30:00";23.02;41.90
"2020-10-06";"09:35:00";23.26;41.38
"2020-10-06";"09:40:00";23.42;41.02
"2020-10-06";"09:45:00";23.11;41.49
"2020-10-06";"09:50:00";22.94;42.05
"2020-10-06";"09:55:00";22.81;42.44
"2020-10-06";"10:00:00";22.73;43.19
"2020-10-06";"10:05:00";22.55;43.75
"2020-10-06";"10:10:00";22.37;44.06
"2020-10-06";"10:15:00";22.71;43.55
"2020-10-06";"10:20:00";23.02;42.83
"2020-10-06";"10:25:00";23.26;42.20
"2020-10-06";"10:30:00";23.25;42.00
"2020-10-06";"10:35:00";22.90;42.65
"2020-10-06";"10:40:00";22.62;43.26
"2020-10-06";"10:45:00";22.49;43.58
"2020-10-06";"10:50:00";22.41;43.79
"2020-10-06";"10:55:00";22.79;43.11
"2020-10-06";"11:00:00";23.04;42.48
"2020-10-06";"11:05:00";23.28;41.93
"2020-10-06";"11:10:00";23.35;41.64
"2020-10-06";"11:15:00";23.01;42.25
"2020-10-06";"11:20:00";22.76;42.79
"2020-10-06";"11:25:00";22.59;43.22
"2020-10-06";"11:30:00";22.44;43.53
"2020-10-06";"11:35:00";22.36;43.75
"2020-10-06";"11:40:00";22.64;43.29
"2020-10-06";"11:45:00";23.05;42.58
"2020-10-06";"11:50:00";23.33;41.84
"2020-10-06";"11:55:00";23.14;41.92
"2020-10-06";"12:00:00";22.86;42.56
"2020-10-06";"12:05:00";22.62;43.06
"2020-10-06";"12:10:00";22.45;43.42
"2020-10-06";"12:15:00";22.31;43.76
"2020-10-06";"12:20:00";22.39;43.52
"2020-10-06";"12:25:00";22.73;42.74
"2020-10-06";"12:30:00";23.01;42.09
"2020-10-06";"12:35:00";23.23;41.54
"2020-10-06";"12:40:00";23.39;41.13
"2020-10-06";"12:45:00";23.05;41.73
"2020-10-06";"12:50:00";22.76;42.35
"2020-10-06";"12:55:00";22.56;42.84
"2020-10-06";"13:00:00";22.42;43.17
"2020-10-06";"13:05:00";22.34;43.40
"2020-10-06";"13:10:00";22.68;42.81
"2020-10-06";"13:15:00";22.98;42.17
"2020-10-06";"13:20:00";23.21;41.63
"2020-10-06";"13:25:00";23.19;41.53
"2020-10-06";"13:30:00";22.90;42.09
"2020-10-06";"13:35:00";22.68;42.58
"2020-10-06";"13:40:00";22.50;42.99
"2020-10-06";"13:45:00";22.34;43.35
"2020-10-06";"13:50:00";22.42;43.34
"2020-10-06";"13:55:00";22.76;42.67
"2020-10-06";"14:00:00";23.04;42.03
"2020-10-06";"14:05:00";23.27;41.53
"2020-10-06";"14:10:00";23.23;41.42
"2020-10-06";"14:15:00";22.89;42.10
"2020-10-06";"14:20:00";22.62;42.72
"2020-10-06";"14:25:00";22.45;43.17
"2020-10-06";"14:30:00";22.36;43.41
"2020-10-06";"14:35:00";22.64;42.98
"2020-10-06";"14:40:00";22.94;42.33
"2020-10-06";"14:45:00";23.18;41.79
"2020-10-06";"14:50:00";23.31;41.40
"2020-10-06";"14:55:00";23.00;41.95
"2020-10-06";"15:00:00";22.74;42.52
"2020-10-06";"15:05:00";22.51;43.04
"2020-10-06";"15:10:00";22.35;43.43
"2020-10-06";"15:15:00";22.27;43.68
"2020-10-06";"15:20:00";22.64;43.06
"2020-10-06";"15:25:00";22.92;42.44
"2020-10-06";"15:30:00";23.19;41.80
"2020-10-06";"15:35:00";23.27;41.50
"2020-10-06";"15:40:00";22.95;42.06
"2020-10-06";"15:45:00";22.71;42.62
"2020-10-06";"15:50:00";22.52;43.05
"2020-10-06";"15:55:00";22.40;43.36
"2020-10-06";"16:00:00";22.63;43.00
"2020-10-06";"16:05:00";22.95;42.35
"2020-10-06";"16:10:00";23.15;41.83
"2020-10-06";"16:15:00";23.38;41.33
"2020-10-06";"16:20:00";23.09;41.76
"2020-10-06";"16:25:00";22.74;42.47
"2020-10-06";"16:30:00";22.58;42.93
"2020-10-06";"16:35:00";22.43;43.30
"2020-10-06";"16:40:00";22.38;43.46
"2020-10-06";"16:45:00";22.73;42.85
"2020-10-06";"16:50:00";23.01;42.24
"2020-10-06";"16:55:00";23.26;41.69
"2020-10-06";"17:00:00";23.37;41.37
"2020-10-06";"17:05:00";22.98;42.04
"2020-10-06";"17:10:00";22.72;42.67
"2020-10-06";"17:15:00";22.54;43.11
"2020-10-06";"17:20:00";22.36;43.53
"2020-10-06";"17:25:00";22.46;43.53
"2020-10-06";"17:30:00";22.80;42.85
"2020-10-06";"17:35:00";23.08;42.20
"2020-10-06";"17:40:00";23.30;41.70
"2020-10-06";"17:45:00";23.10;41.94
"2020-10-06";"17:50:00";22.80;42.60
"2020-10-06";"17:55:00";22.60;43.08
"2020-10-06";"18:00:00";22.44;43.49
"2020-10-06";"18:05:00";22.31;43.75
"2020-10-06";"18:10:00";22.51;43.52
"2020-10-06";"18:15:00";22.86;42.80
"2020-10-06";"18:20:00";23.11;42.21
"2020-10-06";"18:25:00";23.31;41.72
"2020-10-06";"18:30:00";23.11;41.93
"2020-10-06";"18:35:00";22.83;42.54
"2020-10-06";"18:40:00";22.62;43.06
"2020-10-06";"18:45:00";22.45;43.50
"2020-10-06";"18:50:00";22.30;43.82
"2020-10-06";"18:55:00";22.50;43.58
"2020-10-06";"19:00:00";22.83;42.92
"2020-10-06";"19:05:00";23.07;42.32
"2020-10-06";"19:10:00";23.32;41.73
"2020-10-06";"19:15:00";23.00;42.21
"2020-10-06";"19:20:00";22.73;42.81
"2020-10-06";"19:25:00";22.56;43.27
"2020-10-06";"19:30:00";22.38;43.69
"2020-10-06";"19:35:00";22.27;43.96
"2020-10-06";"19:40:00";22.62;43.42
"2020-10-06";"19:45:00";22.87;42.85
"2020-10-06";"19:50:00";23.14;42.23
"2020-10-06";"19:55:00";23.34;41.74
"2020-10-06";"20:00:00";23.02;42.26
"2020-10-06";"20:05:00";22.76;42.86
"2020-10-06";"20:10:00";22.59;43.31
"2020-10-06";"20:15:00";22.45;43.64
"2020-10-06";"20:20:00";22.36;43.90
"2020-10-06";"20:25:00";22.31;43.99
"2020-10-06";"20:30:00";22.59;43.55
"2020-10-06";"20:35:00";22.82;42.99
"2020-10-06";"20:40:00";23.09;42.42
"2020-10-06";"20:45:00";23.31;41.89
"2020-10-06";"20:50:00";23.21;41.93
"2020-10-06";"20:55:00";22.88;42.59
"2020-10-06";"21:00:00";22.66;43.11
"2020-10-06";"21:05:00";22.51;43.52
"2020-10-06";"21:10:00";22.44;43.74
"2020-10-06";"21:15:00";22.35;43.94
"2020-10-06";"21:20:00";22.51;43.71
"2020-10-06";"21:25:00";22.83;43.03
"2020-10-06";"21:30:00";23.05;42.50
"2020-10-06";"21:35:00";23.25;41.98
"2020-10-06";"21:40:00";23.34;41.67
"2020-10-06";"21:45:00";22.99;42.32
"2020-10-06";"21:50:00";22.75;42.91
"2020-10-06";"21:55:00";22.52;43.41
"2020-10-06";"22:00:00";22.40;43.71
"2020-10-06";"22:05:00";22.30;43.95
"2020-10-06";"22:10:00";22.34;43.88
"2020-10-06";"22:15:00";22.68;43.21
"2020-10-06";"22:20:00";22.95;42.57
"2020-10-06";"22:25:00";23.22;41.93
"2020-10-06";"22:30:00";23.36;41.55
"2020-10-06";"22:35:00";23.03;42.07
"2020-10-06";"22:40:00";22.80;42.58
"2020-10-06";"22:45:00";22.60;43.05
"2020-10-06";"22:50:00";22.41;43.47
"2020-10-06";"22:55:00";22.29;43.73
"2020-10-06";"23:00:00";22.56;43.32
"2020-10-06";"23:05:00";22.84;42.68
"2020-10-06";"23:10:00";23.10;42.04
"2020-10-06";"23:15:00";23.33;41.56
"2020-10-06";"23:20:00";23.21;41.65
"2020-10-06";"23:25:00";22.87;42.30
"2020-10-06";"23:30:00";22.66;42.78
"2020-10-06";"23:35:00";22.48;43.21
"2020-10-06";"23:40:00";22.35;43.54
"2020-10-06";"23:45:00";22.21;43.85
"2020-10-06";"23:50:00";22.44;43.49
"2020-10-06";"23:55:00";22.76;42.81
