"Date";"Time";"temperature";"relative humidity"
"[YYYY-MM-DD]";"[hh:mm:ss]";"degC";"%"
"2020-10-07";"00:00:00";23.04;42.15
"2020-10-07";"00:05:00";23.29;41.60
"2020-10-07";"00:10:00";23.13;41.72
"2020-10-07";"00:15:00";22.81;42.36
"2020-10-07";"00:20:00";22.61;42.87
"2020-10-07";"00:25:00";22.47;43.23
"2020-10-07";"00:30:00";22.31;43.55
"2020-10-07";"00:35:00";22.49;43.30
"2020-10-07";"00:40:00";22.82;42.69
"2020-10-07";"00:45:00";23.10;42.05
"2020-10-07";"00:50:00";23.30;41.51
"2020-10-07";"00:55:00";23.24;41.52
"2020-10-07";"01:00:00";22.91;42.13
"2020-10-07";"01:05:00";22.69;42.65
"2020-10-07";"01:10:00";22.49;43.14
"2020-10-07";"01:15:00";22.40;43.39
"2020-10-07";"01:20:00";22.38;43.44
"2020-10-07";"01:25:00";22.52;43.24
"2020-10-07";"01:30:00";22.81;42.64
"2020-10-07";"01:35:00";23.07;42.05
"2020-10-07";"01:40:00";23.30;41.52
"2020-10-07";"01:45:00";23.27;41.41
"2020-10-07";"01:50:00";22.92;42.06
"2020-10-07";"01:55:00";22.74;42.52
"2020-10-07";"02:00:00";22.57;42.93
"2020-10-07";"02:05:00";22.44;43.22
"2020-10-07";"02:10:00";22.36;43.39
"2020-10-07";"02:15:00";22.61;42.99
"2020-10-07";"02:20:00";22.90;42.40
"2020-10-07";"02:25:00";23.11;41.88
"2020-10-07";"02:30:00";23.31;41.40
"2020-10-07";"02:35:00";23.15;41.54
"2020-10-07";"02:40:00";22.87;42.13
"2020-10-07";"02:45:00";22.62;42.70
"2020-10-07";"02:50:00";22.43;43.11
"2020-10-07";"02:55:00";22.35;43.34
"2020-10-07";"03:00:00";22.23;43.61
"2020-10-07";"03:05:00";22.26;43.64
"2020-10-07";"03:10:00";22.63;42.92
"2020-10-07";"03:15:00";22.87;42.33
"2020-10-07";"03:20:00";23.15;41.69
"2020-10-07";"03:25:00";23.34;41.24
"2020-10-07";"03:30:00";23.17;41.44
"2020-10-07";"03:35:00";22.87;42.08
"2020-10-07";"03:40:00";22.64;42.62
"2020-10-07";"03:45:00";22.47;42.99
"2020-10-07";"03:50:00";22.33;43.35
"2020-10-07";"03:55:00";22.36;43.37
