"Date";"Time";"temperature 1 (analog)";"temperature 2 (digital)";"absolute pressure";"relative humidity";"absolute humidity";"mixing ratio";"dewpoint";"frostpoint";"airflow";"fan power"
"[YYYY-MM-DD]";"[hh:mm:ss]";"°C";"°C";"hPa";"%";"g/m³";"g/kg";"°C";"°C";"%";"%"
"2020-10-06";"00:00:00";10.850;10.799;983.001;75.884;7.512;6.293;6.762;0.000;102.854;71.429
"2020-10-06";"00:05:00";10.803;10.756;982.975;75.884;7.490;6.273;6.717;0.000;100.809;71.429
"2020-10-06";"00:10:00";10.749;10.698;983.026;75.884;7.464;6.250;6.664;0.000;103.388;71.429
"2020-10-06";"00:15:00";10.696;10.651;983.092;75.884;7.439;6.228;6.613;0.000;104.035;71.429
"2020-10-06";"00:20:00";10.693;10.652;983.127;75.884;7.438;6.226;6.610;0.000;102.501;71.429
"2020-10-06";"00:25:00";10.694;10.652;983.086;74.835;7.336;6.140;6.409;0.000;105.384;71.429
"2020-10-06";"00:30:00";10.782;10.708;983.122;75.360;7.428;6.220;6.595;0.000;104.545;71.429
"2020-10-06";"00:35:00";10.701;10.643;983.161;74.835;7.339;6.142;6.415;0.000;104.567;71.429
"2020-10-06";"00:40:00";10.727;10.682;983.112;74.835;7.351;6.153;6.441;0.000;105.409;71.429
"2020-10-06";"00:45:00";10.663;10.602;983.053;75.360;7.372;6.171;6.480;0.000;103.980;71.429
"2020-10-06";"00:50:00";10.751;10.675;983.063;73.786;7.258;6.076;6.258;0.000;103.488;71.429
"2020-10-06";"00:55:00";10.951;10.907;982.982;74.194;7.391;6.193;6.531;0.000;100.853;71.429
"2020-10-06";"01:00:00";11.006;10.915;982.955;73.786;7.376;6.182;6.504;0.000;105.257;71.429
"2020-10-06";"01:05:00";10.994;10.942;983.054;73.786;7.370;6.176;6.493;0.000;105.566;71.429
"2020-10-06";"01:10:00";10.959;10.879;983.110;72.737;7.249;6.073;6.251;0.000;105.332;71.429
"2020-10-06";"01:15:00";10.947;10.903;983.070;73.261;7.296;6.112;6.343;0.000;103.993;71.429
"2020-10-06";"01:20:00";10.995;10.952;982.990;73.261;7.318;6.133;6.390;0.000;105.184;71.429
"2020-10-06";"01:25:00";10.941;10.879;982.974;73.786;7.346;6.155;6.441;0.000;104.569;71.429
"2020-10-06";"01:30:00";11.049;10.983;982.919;73.261;7.343;6.155;6.442;0.000;104.963;71.429
"2020-10-06";"01:35:00";11.103;11.017;982.848;73.786;7.421;6.223;6.598;0.000;104.184;71.429
"2020-10-06";"01:40:00";11.109;11.037;982.766;73.786;7.424;6.226;6.603;0.000;106.255;71.429
"2020-10-06";"01:45:00";11.001;10.942;982.776;74.835;7.479;6.270;6.705;0.000;105.941;71.429
"2020-10-06";"01:50:00";10.953;10.878;982.781;74.835;7.456;6.249;6.659;0.000;106.052;71.429
"2020-10-06";"01:55:00";10.829;10.757;982.725;74.835;7.398;6.198;6.539;0.000;104.589;71.429
"2020-10-06";"02:00:00";10.842;10.764;982.702;75.127;7.433;6.228;6.608;0.000;105.369;71.429
"2020-10-06";"02:05:00";10.740;10.666;982.655;75.360;7.408;6.205;6.554;0.000;105.506;71.429
"2020-10-06";"02:10:00";10.620;10.558;982.624;74.835;7.301;6.112;6.336;0.000;105.106;71.429
"2020-10-06";"02:15:00";10.656;10.614;982.622;75.360;7.369;6.170;6.473;0.000;103.025;71.429
"2020-10-06";"02:20:00";10.922;10.858;982.596;75.360;7.494;6.282;6.730;0.000;101.882;71.429
